OCC,SOCXX,OCCUPATION
0010,1110XX,Chief Executives and Legislators
0020,111020,General and Operations Managers
0030,1110XX,Chief Executives and Legislators
0040,112011,Advertising and Promotions Managers
0050,112020,Marketing and Sales Managers
0060,112031,Public Relations and Fundraising Managers
0100,113011,Administrative Services Managers
0110,113021,Computer and Information Systems Managers
0120,113031,Financial Managers
0130,113040,Human Resources Managers
0135,113040,Human Resources Managers
0136,113040,Human Resources Managers
0137,113040,Human Resources Managers
0140,113051,Industrial Production Managers
0150,113061,Purchasing Managers
0160,113071,"Transportation, Storage, and Distribution Managers"
0200,119013,"Farmers, Ranchers, and Other Agricultural Managers"
0205,119013,"Farmers, Ranchers, and Other Agricultural Managers"
0210,119013,"Farmers, Ranchers, and Other Agricultural Managers"
0220,119021,Constructions Managers
0230,119030,Education Administrators
0300,119041,Architectural and Engineering Managers
0310,119051,Food Service Managers
0320,394000,Funeral Service Workers
0325,119XXX,"Miscellaneous Managers, Including Funeral Service Managers and Postmasters and Mail Superintendents"
0330,119071,Gaming Managers
0340,119081,Lodging Managers
0350,119111,Medical and Health Services Managers
0360,119121,Natural Science Managers
0400,119XXX,"Miscellaneous Managers, Including Funeral Service Managers and Postmasters and Mail Superintendents"
0410,119141,"Property, Real Estate, and Community Association Managers"
0420,119151,Social and Community Service Managers
0425,1311XX,Other Business Operations Specialist
0430,119XXX,"Miscellaneous Managers, Including Funeral Service Managers and Postmasters and Mail Superintendents"
0500,131011,"Agents and Business Managers of Artists, Performers, and Athletes"
0510,131021,"Buyers and Purchasing Agents, Farm Products"
0520,131022,"Wholesale and Retail Buyers, Except Farm Products"
0530,131023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
0540,131030,"Claims Adjusters, Appraisers, Examiners, and Investigators"
0560,131040,Compliance Officers
0565,131040,Compliance Officers
0600,131051,Cost Estimators
0620,131070,"Human Resources, Training, and Labor Relations Specialists"
0630,131070,"Human Resources, Training, and Labor Relations Specialists"
0640,131070,"Human Resources, Training, and Labor Relations Specialists"
0650,131070,"Human Resources, Training, and Labor Relations Specialists"
0700,131081,Logisticians
0710,131111,Management Analysts
0720,1311XX,Other Business Operations Specialist
0725,1311XX,Other Business Operations Specialist
0726,419099,"Sales and Related Workers, All Other"
0730,1311XX,Other Business Operations Specialist
0735,1311XX,Other Business Operations Specialist
0740,1311XX,Other Business Operations Specialist
0800,132011,Accountants and Auditors
0810,132021,Appraisers and Assessors of Real Estate
0820,132031,Budget Analysts
0830,132041,Credit Analysts
0840,132051,Financial Analysts
0850,132052,Personal Financial Advisors
0860,132053,Insurance Underwriters
0900,132061,Financial Examiners
0910,132070,Credit Counselors and Loan Officers
0930,132081,"Tax Examiners and Collectors, and Revenue Agents"
0940,132082,Tax Preparers
0950,132099,"Financial Specialists, All Other"
1000,1510XX,Computer Scientists and Systems Analyst
1005,1510XX,Computer Scientists and Systems Analyst
1006,1510XX,Computer Scientists and Systems Analyst
1007,1510XX,Computer Scientists and Systems Analyst
1010,1510XX,Computer Scientists and Systems Analyst
1020,151030,Computer Software Engineers
1030,151081,Network Systems and Data Communications Analysts
1040,151081,Network Systems and Data Communications Analysts
1050,151081,Network Systems and Data Communications Analysts
1060,151141,Database Administrators
1100,151081,Network Systems and Data Communications Analysts
1105,151081,Network Systems and Data Communications Analysts
1106,1510XX,Computer Scientists and Systems Analyst
1107,1510XX,Computer Scientists and Systems Analyst
1110,151081,Network Systems and Data Communications Analysts
1200,152011,Actuaries
1210,1520XX,"Miscellaneous mathematical science occupations, including mathematicians and statisticians"
