soc_code;socxx_code;socxx_desc
11-1011;1110XX;Chief Executives and Legislators
11-1021;111020;General and Operations Managers
11-1031;1110XX;Chief Executives and Legislators
11-2011;112011;Advertising and Promotions Managers
11-2021;112020;Marketing and Sales Managers
11-2022;112020;Marketing and Sales Managers
11-2031;112031;Public Relations and Fundraising Managers
11-3011;113011;Administrative Services Managers
11-3021;113021;Computer and Information Systems Managers
11-3031;113031;Financial Managers
11-3051;113051;Industrial Production Managers
11-3061;113061;Purchasing Managers
11-3071;113071;Transportation, Storage, and Distribution Managers
11-3111;113040;Human Resources Managers
11-3121;113040;Human Resources Managers
11-3131;119XXX;Miscellaneous Managers, including Funeral Service Managers and Postmasters and Mail Superintendents
11-9013;119013;Farmers, Ranchers, and Other Agricultural Managers
11-9021;119021;Constructions Managers
11-9031;119030;Education Administrators
11-9032;119030;Education Administrators
11-9033;119030;Education Administrators
11-9039;119030;Education Administrators
11-9041;119041;Architectural and Engineering Managers
11-9051;119051;Food Service Managers
11-9061;119XXX;Miscellaneous Managers, including Funeral Service Managers and Postmasters and Mail Superintendents
11-9071;119071;Gaming Managers
11-9081;119081;Lodging Managers
11-9111;119111;Medical and Health Services Managers
11-9121;119121;Natural Science Managers
11-9131;119XXX;Miscellaneous Managers, including Funeral Service Managers and Postmasters and Mail Superintendents
11-9141;119141;Property, Real Estate, and Community Association Managers
11-9151;119151;Social and Community Service Managers
11-9161;119XXX;Miscellaneous Managers, including Funeral Service Managers and Postmasters and Mail Superintendents
11-9199;119XXX;Miscellaneous Managers, including Funeral Service Managers and Postmasters and Mail Superintendents
13-1011;131011;Agents and Business Managers of Artists, Performers, and Athletes
13-1028;131022;Wholesale and Retail Buyers, Except Farm Products
13-1031;131030;Claims Adjusters, Appraisers, Examiners, and Investigators
13-1032;131030;Claims Adjusters, Appraisers, Examiners, and Investigators
13-1041;131040;Compliance Officers
13-1051;131051;Cost Estimators
13-1071;131070;Human Resources, Training, and Labor Relations Specialists
13-1074;131070;Human Resources, Training, and Labor Relations Specialists
13-1075;131070;Human Resources, Training, and Labor Relations Specialists
13-1081;131081;Logisticians
13-1111;131111;Management Analysts
13-1121;1311XX;Other Business Operations Specialist
13-1131;1311XX;Other Business Operations Specialist
13-1141;131070;Human Resources, Training, and Labor Relations Specialists
13-1151;131070;Human Resources, Training, and Labor Relations Specialists
13-1161;1311XX;Other Business Operations Specialist
13-1199;1311XX;Other Business Operations Specialist
13-2011;132011;Accountants and Auditors
13-2021;132021;Appraisers and Assessors of Real Estate
13-2031;132031;Budget Analysts
13-2041;132041;Credit Analysts
13-2051;132051;Financial Analysts
13-2052;132052;Personal Financial Advisors
13-2053;132053;Insurance Underwriters
13-2061;132061;Financial Examiners
13-2071;132070;Credit Counselors and Loan Officers
13-2072;132070;Credit Counselors and Loan Officers
13-2081;132081;Tax Examiners and Collectors, and Revenue Agents
13-2082;132082;Tax Preparers
13-2099;132099;Financial Specialists, All Other
15-1111;1510XX;Computer Scientists and Systems Analyst
15-1121;1510XX;Computer Scientists and Systems Analyst
15-1122;1510XX;Computer Scientists and Systems Analyst
15-1131;151030;Computer Software Engineers
15-1132;151030;Computer Software Engineers
15-1133;151030;Computer Software Engineers
15-1134;151030;Computer Software Engineers
15-1141;151141;Database Administrators
15-1142;151081;Network Systems and Data Communications Analysts
15-1143;151081;Network Systems and Data Communications Analysts
15-1151;1510XX;Computer Scientists and Systems Analyst
15-1152;151081;Network Systems and Data Communications Analysts
15-1199;1510XX;Computer Scientists and Systems Analyst
15-2011;152011;Actuaries
15-2021;1520XX;Miscellaneous Mathematical Science Occupations, including Mathematicians and Statisticians
15-2031;152031;Operations Research Analysts
15-2041;1520XX;Miscellaneous Mathematical Science Occupations, including Mathematicians and Statisticians
15-2098;1520XX;Miscellaneous Mathematical Science Occupations, including Mathematicians and Statisticians
17-1011;171010;Architects, Except Naval
17-1012;171010;Architects, Except Naval
17-1021;171020;Surveyors, Cartographers, and Photogrammetrists
17-1022;171020;Surveyors, Cartographers, and Photogrammetrists
17-2011;172011;Aerospace Engineers
17-2021;1720XX;Biomedical and agricultural engineers
17-2031;1720XX;Biomedical and agricultural engineers
17-2041;172041;Chemical Engineers
17-2051;172051;Civil Engineers
17-2061;172061;Computer Hardware Engineers
17-2071;172070;Electrical and Electronics Engineers
17-2072;172070;Electrical and Electronics Engineers
17-2081;172081;Environmental Engineers
17-2111;172110;Industrial Engineers, including Health and Safety
17-2112;172110;Industrial Engineers, including Health and Safety
17-2121;172121;Marine Engineers and Naval Architects
17-2131;172131;Materials Engineers
17-2141;172141;Mechanical Engineers
17-2151;1721XX;Petroleum, Mining and Geological engineers, including Mining Safety Engineers
17-2161;1721YY;Miscellaneous Engineeers, including Nuclear Engineers
17-2171;1721XX;Petroleum, Mining and Geological engineers, including Mining Safety Engineers
17-2199;1721YY;Miscellaneous Engineeers, including Nuclear Engineers
17-3011;173010;Drafters
17-3012;173010;Drafters
17-3013;173010;Drafters
17-3019;173010;Drafters
17-3021;173020;Engineering Technicians, Except Drafters
